c.4.08.26,A song of Inana and Dumuzid (Dumuzid-Inana Z)

c.1.4.1.3,Dumuzid and his sisters

c.1.4.1.1,Dumuzid and Ŋeštin-ana

c.4.08.28,A song of Inana and Dumuzid (Dumuzid-Inana B1)

c.4.08.29,A song of Inana and Dumuzid (Dumuzid-Inana C1)

c.3.1.11.1,Letter from Ur-DUN to Šulgi about Apillaša

c.2.6.2.1,An adab to Nanna for Gungunum (Gungunum A)

c.4.80.2,The Keš temple hymn

c.4.80.1,The temple hymns

c.4.80.4,A hymn to the E-kur

c.5.6.1,The instructions of Šuruppag

c.5.6.3,The farmer's instructions

c.5.6.5,The three ox-drivers from Adab

c.2.6.6.1,A praise poem of Sîn-iddinam (Sîn-iddinam A)

c.2.6.6.5,Sîn-iddinam and Iškur (Sîn-iddinam E)

c.4.07.8,A balbale to Inana as Nanaya (Inana H)

c.2.8.3.7,A prayer for Samsu-iluna (Samsu-iluna G)

c.2.8.3.6,A hymn to Enlil for Samsu-iluna (Samsu-iluna F)

c.2.8.3.5,A prayer for Samsu-iluna (Samsu-iluna E)

c.2.8.3.4,A prayer for Samsu-iluna (Samsu-iluna D)

c.2.8.3.3,A prayer for Samsu-iluna (Samsu-iluna C)

c.2.8.3.2,A prayer for Samsu-iluna (Samsu-iluna B)

c.2.8.3.1,Samsu-iluna and Inana (Samsu-iluna A)

c.2.8.3.8,A hymn to Enlil for Samsu-iluna (Samsu-iluna H)

c.4.21.1,A hymn to Ninimma (Ninimma A)

c.5.5.1,The message of Lu-diŋira to his mother

c.4.32.e,A šir-namšub to Utu (Utu E)

c.4.32.f,A šir-namšub to Utu (Utu F)

c.4.13.13,A hymn to Nanna (Nanna M)

c.4.13.12,A šir-namgala to Nanna (Nanna L)

c.4.13.11,A šir-namšub to Suen (Nanna K)

c.4.13.10,An ululumama to Nanna (Nanna J)

c.4.13.15,A hymn to Nanna (Nanna O)

c.4.13.14,A hymn to Nanna (Nanna N)

c.2.5.4.02,An adab to Bau for Išme-Dagan (Išme-Dagan B)

c.2.5.4.03,A hymn to Nibru and Išme-Dagan (Išme-Dagan C)

c.2.5.4.01,A praise poem of Išme-Dagan (Išme-Dagan A + V)

c.2.5.4.04,An adab (?) to Enki for Išme-Dagan (Išme-Dagan D)

c.2.4.4.a,A hymn for Šu-Suen

c.2.8.5.a,A praise poem of Abī-Ešuh (Abī-Ešuh B)

c.2.5.4.08,An adab to Enlil for Išme-Dagan (Išme-Dagan H)

c.2.5.4.09,Išme-Dagan and Enlil's chariot: a tigi to Enlil (Išme-Dagan I)

c.6.1.10,Proverbs: collection 10

c.2.5.4.05,A balbale to Enki for Išme-Dagan (Išme-Dagan E)

c.1.6.1,Ninurta's return to Nibru: a šir-gida to Ninurta

c.1.6.3,Ninurta and the turtle

c.1.6.2,Ninurta's exploits: a šir-sud (?) to Ninurta

c.3.3.10,Letter from Inanaka to the goddess Nintinuga

c.3.3.11,Letter from Inim-Inana to Enlil-massu

c.3.3.12,Letter from Inim-Inana to Lugal-ibila

c.1.4.4,Inana and Bilulu: an ulila to Inana

c.1.4.3,Dumuzid's dream

c.1.4.1,Inana's descent to the nether world

c.1.2.1,Enlil and Ninlil

c.1.2.2,Enlil and Sud

c.3.1.18,Letter from Ibbi-Suen to Išbi-Erra about his bad conduct

c.4.30.1,A balbale to Šara (Šara A)

c.3.1.16,Letter from Šu-Suen to Šarrum-bāni about digging a trench

c.3.1.17,Letter from Išbi-Erra to Ibbi-Suen about the purchase of grain

c.3.1.15,Letter from Šarrum-bāni to Šu-Suen about keeping the Martu at bay

c.3.1.10,Letter from Šulgi to Puzur-Šulgi about waterways

c.3.1.11,Letter from Aradŋu (?) to Šulgi about bandits and Apillaša

c.4.32.2,A hymn to Utu (Utu B)

c.2.1.4,Sargon and Ur-Zababa

c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G)

c.2.4.2.05,A praise poem of Šulgi (Šulgi E)

c.2.4.2.04,A praise poem of Šulgi (Šulgi D)

c.2.4.2.03,A praise poem of Šulgi (Šulgi C)

c.2.4.2.02,A praise poem of Šulgi (Šulgi B)

c.2.4.2.01,A praise poem of Šulgi (Šulgi A)

c.2.5.8.1,A praise poem of Enlil-bāni (Enlil-bāni A)

c.2.8.5.b,A hymn to Marduk for a king

c.6.1.19,Proverbs: collection 19

c.6.1.18,Proverbs: collection 18

c.6.1.15,Proverbs: collection 15

c.6.1.14,Proverbs: collection 14

c.6.1.17,Proverbs: collection 17

c.6.1.16,Proverbs: collection 16

c.6.1.11,Proverbs: collection 11

c.4.03.1,A šir-šag-hula to Damgalnuna (Damgalnuna A)

c.0.1.1,Ur III catalogue from Nibru (N1)

c.6.1.12,Proverbs: collection 12

c.3.1.06.1,Letter from Šulgi to Aradŋu about Aba-indasa's letter

c.2.5.4.a,A hymn to Inana for Išme-Dagan

c.4.07.a,A hymn to Inana

c.2.5.4.b,A hymn to Enki for Išme-Dagan

c.4.24.1,An adab to Ninlil (Ninlil A)

c.1.8.1.5.1,Gilgameš and Huwawa (Version B)

c.4.15.3,A tigi to Nergal (Nergal C)

c.4.15.2,A hymn to Nergal (Nergal B)

c.4.22.3,Ninisina's journey to Nibru: a šir-namšub to Ninisina (Ninisina C)

c.4.22.2,A šir-namšub to Ninisina (Ninisina B)

c.4.22.1,A šir-gida to Ninisina (Ninisina A)

c.4.22.6,Ninisina and the gods (Ninisina F)

c.4.22.5,An adab to Ninisina (Ninisina E)

c.4.22.4,A hymn to Ninisina (Ninisina D)

c.2.5.6.3,An adab to Ninurta for Ur-Ninurta (Ur-Ninurta C)

c.2.5.6.2,A tigi to Enki for Ur-Ninurta (Ur-Ninurta B)

c.2.5.6.1,A šir-namgala (?) to Inana for Ur-Ninurta (Ur-Ninurta A)

c.4.05.1,Enlil in the E-kur (Enlil A)

c.2.5.6.6,An adab (?) to Iškur for Ur-Ninurta (Ur-Ninurta F)

c.2.5.6.5,An adab to An for Ur-Ninurta (Ur-Ninurta E)

c.2.5.6.4,An adab to Inana for Ur-Ninurta (Ur-Ninurta D)

c.4.07.1,A balbale to Inana (Inana A)

c.4.07.2,The exaltation of Inana (Inana B)

c.4.07.3,A hymn to Inana (Inana C)

c.4.07.4,A hymn to Inana as Ninegala (Inana D)

c.4.07.5,A tigi to Inana (Inana E)

c.4.07.6,A balbale (?) to  Inana (Inana F)

c.4.07.7,A šir-namšub to Inana (Inana G)

c.2.4.5.5,A hymn to Suen for Ibbi-Suen (Ibbi-Suen E)

c.4.07.9,A šir-namšub to Inana (Inana I)

c.2.4.5.1,A tigi to Suen for Ibbi-Suen (Ibbi-Suen A)

c.2.4.5.3,An adab to Suen for Ibbi-Suen (Ibbi-Suen C)

c.2.4.5.2,A šir-namgala to Mešlamta-ea and Lugal-era for Ibbi-Suen (Ibbi-Suen B)

c.4.19.4,A balbale (?) to Ninŋišzida (Ninŋišzida D)

c.4.19.1,A balbale to Ninŋišzida (Ninŋišzida A)

c.4.19.3,A hymn to Ninŋišzida (Ninŋišzida C)

c.4.19.2,A balbale to Ninŋišzida (Ninŋišzida B)

c.3.1.19,Letter from Puzur-Šulgi to Ibbi-Suen about Išbi-Erra's claim on Isin

c.2.5.2.3,An adab for Šu-ilīšu (Šu-ilīšu C)

c.2.5.2.1,An adab to Nergal for Šu-ilīšu (Šu-ilīšu A)

c.4.01.1,A hymn to Asarluhi (Asarluhi A)

c.2.8.5.1,A hymn to Marduk for Abī-Ešuh (Abī-Ešuh A)

c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I)

c.4.28.1,A hymn to Nungal (Nungal A)

c.4.08.16,A balbale (?) to Inana (Dumuzid-Inana P)

c.4.08.15,A balbale to Inana (Dumuzid-Inana O)

c.4.08.13,A šir-namšub to Inana (Dumuzid-Inana M)

c.4.08.12,A song of Inana and Dumuzid (Dumuzid-Inana L)

c.4.08.10,A song of Inana and Dumuzid (Dumuzid-Inana J)

c.4.08.18,A song of Inana and Dumuzid (Dumuzid-Inana R)

c.4.26.1,A tigi to Nintur (Nintur A)

c.4.17.1,A balbale to Ninazu (Ninazu A)

c.2.4.3.1,Amar-Suena and Enki's temple (Amar-Suena A)

c.2.4.1.1,The death of Ur-Namma (Ur-Namma A)

c.2.4.1.3,A praise poem of Ur-Namma (Ur-Namma C)

c.2.4.1.2,A tigi to Enlil for Ur-Namma (Ur-Namma B)

c.2.4.1.5,A šir-namšub (?) to Nanna for Ur-Namma (Ur-Namma E)

c.2.4.1.4,Ur-Namma the canal-digger (Ur-Namma D)

c.2.4.1.7,A balbale to Enlil for Ur-Namma (Ur-Namma G)

c.2.4.1.6,A šir-namšub to Nanna for Ur-Namma (Ur-Namma F)

c.2.1.5,The cursing of Agade

c.2.4.1.8,A praise poem of Ur-Namma (Ur-Namma H)

c.2.1.7,The building of Ninŋirsu's temple (Gudea cylinders A and B)

c.4.13.d,A fragment of a hymn to Nanna

c.4.13.c,An excerpt from a hymn to Nanna

c.4.13.b,A fragment of a hymn to Nanna

c.4.13.a,A hymn to Nanna

c.2.1.2,The rulers of Lagaš

c.1.8.1.2,Gilgameš and the bull of heaven

c.1.8.1.3,The death of Gilgameš

c.1.8.1.1,Gilgameš and Aga

c.1.8.1.4,Gilgameš Enkidu and the nether world

c.1.8.1.5,Gilgameš and Huwawa (Version A)

c.2.3.2,A tigi to Bau for Gudea (Gudea A)

c.2.3.1,An adab to Bau for Luma (Luma A)

c.2.99.c,A fragment of a royal praise poem

c.2.5.5.5,A šir-namgala to Ninisina for Lipit-Eštar (Lipit-Eštar E)

c.6.1.24,Proverbs: collection 24

c.6.1.25,Proverbs: collection 25

c.6.1.26,Proverbs: collection 26

c.2.1.6,The victory of Utu-heŋal

c.6.1.21,Proverbs: collection 21

c.6.1.22,Proverbs: collection 22

c.6.1.23,Proverbs: collection 23

c.2.1.1,The Sumerian king list

c.6.1.28,Proverbs: collection 28

c.2.5.5.1,A praise poem of Lipit-Eštar (Lipit-Eštar A)

c.5.9.1,The home of the fish

c.2.1.3,The history of the Tummal

c.4.13.08,An adab to Nanna (Nanna H)

c.4.13.09,A tigi to Suen (Nanna I)

c.4.13.04,A balbale to Nanna (Nanna D)

c.4.13.05,A hymn to Nanna (Nanna E)

c.4.13.06,The herds of Nanna (Nanna F)

c.4.13.07,A hymn to Nanna (Nanna G)

c.4.13.01,A balbale to Suen (Nanna A)

c.4.13.02,A balbale to Nanna (Nanna B)

c.4.13.03,A balbale to Nanna (Nanna C)

